job_title,required_technical_skills,cognitive_soft_skills,tools_technologies,all_skills
HR ADMINISTRATOR,"Recruitment, onboarding, payroll processing, employee relations, HR compliance, performance management, workforce planning","Communication, conflict resolution, leadership, empathy, organizational skills, decision-making","Workday, SAP SuccessFactors, BambooHR, ADP, Microsoft Excel, ATS platforms","Recruitment, onboarding, payroll processing, employee relations, HR compliance, performance management, workforce planning, Communication, conflict resolution, leadership, empathy, organizational skills, decision-making, Workday, SAP SuccessFactors, BambooHR, ADP, Microsoft Excel, ATS platforms"
HR SPECIALIST,"Recruitment, onboarding, payroll processing, employee relations, HR compliance, performance management, workforce planning","Communication, conflict resolution, leadership, empathy, organizational skills, decision-making","Workday, SAP SuccessFactors, BambooHR, ADP, Microsoft Excel, ATS platforms","Recruitment, onboarding, payroll processing, employee relations, HR compliance, performance management, workforce planning, Communication, conflict resolution, leadership, empathy, organizational skills, decision-making, Workday, SAP SuccessFactors, BambooHR, ADP, Microsoft Excel, ATS platforms"
HR DIRECTOR,"Recruitment, onboarding, payroll processing, employee relations, HR compliance, performance management, workforce planning","Communication, conflict resolution, leadership, empathy, organizational skills, decision-making","Workday, SAP SuccessFactors, BambooHR, ADP, Microsoft Excel, ATS platforms","Recruitment, onboarding, payroll processing, employee relations, HR compliance, performance management, workforce planning, Communication, conflict resolution, leadership, empathy, organizational skills, decision-making, Workday, SAP SuccessFactors, BambooHR, ADP, Microsoft Excel, ATS platforms"
HR MANAGER,"Recruitment, onboarding, payroll processing, employee relations, HR compliance, performance management, workforce planning","Communication, conflict resolution, leadership, empathy, organizational skills, decision-making","Workday, SAP SuccessFactors, BambooHR, ADP, Microsoft Excel, ATS platforms","Recruitment, onboarding, payroll processing, employee relations, HR compliance, performance management, workforce planning, Communication, conflict resolution, leadership, empathy, organizational skills, decision-making, Workday, SAP SuccessFactors, BambooHR, ADP, Microsoft Excel, ATS platforms"
HR GENERALIST,"Recruitment, onboarding, payroll processing, employee relations, HR compliance, performance management, workforce planning","Communication, conflict resolution, leadership, empathy, organizational skills, decision-making","Workday, SAP SuccessFactors, BambooHR, ADP, Microsoft Excel, ATS platforms","Recruitment, onboarding, payroll processing, employee relations, HR compliance, performance management, workforce planning, Communication, conflict resolution, leadership, empathy, organizational skills, decision-making, Workday, SAP SuccessFactors, BambooHR, ADP, Microsoft Excel, ATS platforms"
HR CLERK,"Recruitment, onboarding, payroll processing, employee relations, HR compliance, performance management, workforce planning","Communication, conflict resolution, leadership, empathy, organizational skills, decision-making","Workday, SAP SuccessFactors, BambooHR, ADP, Microsoft Excel, ATS platforms","Recruitment, onboarding, payroll processing, employee relations, HR compliance, performance management, workforce planning, Communication, conflict resolution, leadership, empathy, organizational skills, decision-making, Workday, SAP SuccessFactors, BambooHR, ADP, Microsoft Excel, ATS platforms"
HR ASSISTANT,"Recruitment, onboarding, payroll processing, employee relations, HR compliance, performance management, workforce planning","Communication, conflict resolution, leadership, empathy, organizational skills, decision-making","Workday, SAP SuccessFactors, BambooHR, ADP, Microsoft Excel, ATS platforms","Recruitment, onboarding, payroll processing, employee relations, HR compliance, performance management, workforce planning, Communication, conflict resolution, leadership, empathy, organizational skills, decision-making, Workday, SAP SuccessFactors, BambooHR, ADP, Microsoft Excel, ATS platforms"
HR COORDINATOR,"Recruitment, onboarding, payroll processing, employee relations, HR compliance, performance management, workforce planning","Communication, conflict resolution, leadership, empathy, organizational skills, decision-making","Workday, SAP SuccessFactors, BambooHR, ADP, Microsoft Excel, ATS platforms","Recruitment, onboarding, payroll processing, employee relations, HR compliance, performance management, workforce planning, Communication, conflict resolution, leadership, empathy, organizational skills, decision-making, Workday, SAP SuccessFactors, BambooHR, ADP, Microsoft Excel, ATS platforms"
HR ANALYST,"Recruitment, onboarding, payroll processing, employee relations, HR compliance, performance management, workforce planning","Communication, conflict resolution, leadership, empathy, organizational skills, decision-making","Workday, SAP SuccessFactors, BambooHR, ADP, Microsoft Excel, ATS platforms","Recruitment, onboarding, payroll processing, employee relations, HR compliance, performance management, workforce planning, Communication, conflict resolution, leadership, empathy, organizational skills, decision-making, Workday, SAP SuccessFactors, BambooHR, ADP, Microsoft Excel, ATS platforms"
HR CONSULTANT,"Recruitment, onboarding, payroll processing, employee relations, HR compliance, performance management, workforce planning","Communication, conflict resolution, leadership, empathy, organizational skills, decision-making","Workday, SAP SuccessFactors, BambooHR, ADP, Microsoft Excel, ATS platforms","Recruitment, onboarding, payroll processing, employee relations, HR compliance, performance management, workforce planning, Communication, conflict resolution, leadership, empathy, organizational skills, decision-making, Workday, SAP SuccessFactors, BambooHR, ADP, Microsoft Excel, ATS platforms"
HR ASSOCIATE,"Recruitment, onboarding, payroll processing, employee relations, HR compliance, performance management, workforce planning","Communication, conflict resolution, leadership, empathy, organizational skills, decision-making","Workday, SAP SuccessFactors, BambooHR, ADP, Microsoft Excel, ATS platforms","Recruitment, onboarding, payroll processing, employee relations, HR compliance, performance management, workforce planning, Communication, conflict resolution, leadership, empathy, organizational skills, decision-making, Workday, SAP SuccessFactors, BambooHR, ADP, Microsoft Excel, ATS platforms"
HR REPRESENTATIVE,"Recruitment, onboarding, payroll processing, employee relations, HR compliance, performance management, workforce planning","Communication, conflict resolution, leadership, empathy, organizational skills, decision-making","Workday, SAP SuccessFactors, BambooHR, ADP, Microsoft Excel, ATS platforms","Recruitment, onboarding, payroll processing, employee relations, HR compliance, performance management, workforce planning, Communication, conflict resolution, leadership, empathy, organizational skills, decision-making, Workday, SAP SuccessFactors, BambooHR, ADP, Microsoft Excel, ATS platforms"
HR INTERN,"Recruitment, onboarding, payroll processing, employee relations, HR compliance, performance management, workforce planning","Communication, conflict resolution, leadership, empathy, organizational skills, decision-making","Workday, SAP SuccessFactors, BambooHR, ADP, Microsoft Excel, ATS platforms","Recruitment, onboarding, payroll processing, employee relations, HR compliance, performance management, workforce planning, Communication, conflict resolution, leadership, empathy, organizational skills, decision-making, Workday, SAP SuccessFactors, BambooHR, ADP, Microsoft Excel, ATS platforms"
